 


  DENVER INTL AP (CO)- Wind Frequency Table (percentage)  
  
  Latitude  :        39.8328       Start Date :          Jan. 1, 2018           Sub Interal Windows 
  Longitude :      -104.6575       End Date   :         June 27, 2018                 Start    End  
  Elevation :      5414 ft.        # of Days  :         178 of    178          Date    Jan.  1   Dec. 31  
  Element :     Mean Wind Speed    # obs of poss :    4026 of    4272           Hour     0      24   
  
 (Greater than or equal to initial interval value and Less than ending interval value.) 
  
Range (mph),    N,   NNE,    NE,   ENE,     E,   ESE,    SE,   SSE,     S,   SSW,    SW,   WSW,     W,   WNW,    NW,   NNW,  Total
 1.3 -    4,  0.2 ,  0.1 ,  0.2 ,  0.2 ,  0.4 ,  0.4 ,  0.2 ,  0.2 ,  0.3 ,  0.2 ,  0.3 ,  0.3 ,  0.4 ,  0.1 ,  0.1 ,  0.2 ,  4.0
   4 -    8,  1.3 ,  0.8 ,  1.0 ,  1.5 ,  2.2 ,  1.3 ,  0.9 ,  1.4 ,  1.7 ,  1.5 ,  2.2 ,  2.4 ,  1.9 ,  1.1 ,  0.9 ,  0.9 , 23.1
   8 -   13,  2.9 ,  2.2 ,  2.4 ,  2.2 ,  3.9 ,  1.6 ,  2.1 ,  3.5 ,  4.5 ,  3.9 ,  4.3 ,  2.7 ,  3.1 ,  1.6 ,  1.2 ,  1.8 , 43.9
  13 -   19,  1.6 ,  0.8 ,  1.4 ,  0.7 ,  1.0 ,  0.4 ,  0.5 ,  1.3 ,  2.6 ,  3.0 ,  0.8 ,  0.2 ,  1.1 ,  0.6 ,  0.6 ,  0.7 , 17.4
  19 -   25,  1.0 ,  0.4 ,  0.4 ,  0.3 ,  0.2 ,  0.1 ,  0.2 ,  0.5 ,  0.7 ,  0.5 ,  0.2 ,  0.0 ,  0.7 ,  0.4 ,  0.2 ,  0.4 ,  6.4
  25 -   32,  0.5 ,  0.1 ,  0.1 ,  0.1 ,  0.0 ,  0.0 ,  0.1 ,  0.2 ,  0.2 ,  0.2 ,  0.1 ,  0.0 ,  0.4 ,  0.3 ,  0.2 ,  0.2 ,  2.6
  32 -   39,  0.1 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.2 ,  0.0 ,  0.0 ,  0.0 ,  0.5
  39 -   47,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0
  47 -     ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0
 Total(%)  ,  7.7 ,  4.5 ,  5.5 ,  5.1 ,  7.8 ,  3.9 ,  4.1 ,  7.1 , 10.0 ,  9.3 ,  7.9 ,  5.7 ,  7.9 ,  4.2 ,  3.2 ,  4.3 , 98.1 
Calm (<1.3),      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,  1.9 
 Ave. Speed, 13.6 , 12.0 , 11.8 , 10.2 ,  9.6 ,  9.1 , 10.5 , 11.6 , 11.9 , 12.2 ,  9.7 ,  8.0 , 12.2 , 12.3 , 11.5 , 12.0 , 11.0 ,  


